Speech Library 0OA, 52
Speech Library 3OA, 76
Speech Library 2OA, 81
Speech Library 1OA, 97
Speech Library 4OA, 96
Speech Library direct, 6
Speech Trapezoid 3OA, 92
Speech Trapezoid 2OA, 94
Speech Trapezoid direct, 4
Speech Trapezoid 0OA, 39
Speech Trapezoid 1OA, 98
Speech Trapezoid 4OA, 86
TakeFive Trapezoid direct, 13
TakeFive Trapezoid 4OA, 97
TakeFive Trapezoid 2OA, 96
TakeFive Trapezoid 1OA, 95
TakeFive Trapezoid 3OA, 95
TakeFive Trapezoid 0OA, 46
TakeFive Library direct, 4
TakeFive Library 1OA, 73
TakeFive Library 2OA, 83
TakeFive Library 4OA, 95
TakeFive Library 0OA, 30
TakeFive Library 3OA, 95
