TakeFive Trapezoid direct, 18
TakeFive Trapezoid 3OA, 94
TakeFive Trapezoid 0OA, 50
TakeFive Trapezoid 4OA, 94
TakeFive Trapezoid 1OA, 67
TakeFive Trapezoid 2OA, 87
TakeFive Library direct, 39
TakeFive Library 1OA, 98
TakeFive Library 3OA, 86
TakeFive Library 0OA, 71
TakeFive Library 2OA, 81
TakeFive Library 4OA, 89
Speech Trapezoid 3OA, 92
Speech Trapezoid direct, 4
Speech Trapezoid 4OA, 92
Speech Trapezoid 2OA, 92
Speech Trapezoid 0OA, 62
Speech Trapezoid 1OA, 94
Speech Library direct, 2
Speech Library 3OA, 31
Speech Library 1OA, 44
Speech Library 2OA, 56
Speech Library 0OA, 49
Speech Library 4OA, 95
