TakeFive Trapezoid 2OA, 31
TakeFive Trapezoid direct, 3
TakeFive Trapezoid 0OA, 0
TakeFive Trapezoid 1OA, 42
TakeFive Trapezoid 3OA, 100
TakeFive Trapezoid 4OA, 100
TakeFive Library 0OA, 2
TakeFive Library 4OA, 100
TakeFive Library 3OA, 100
TakeFive Library 2OA, 100
TakeFive Library direct, 3
TakeFive Library 1OA, 49
Speech Trapezoid 2OA, 45
Speech Trapezoid 1OA, 100
Speech Trapezoid direct, 3
Speech Trapezoid 4OA, 100
Speech Trapezoid 3OA, 100
Speech Trapezoid 0OA, 3
Speech Library 0OA, 4
Speech Library direct, 3
Speech Library 1OA, 100
Speech Library 2OA, 100
Speech Library 4OA, 100
Speech Library 3OA, 52
