Speech Library 1OA, 74
Speech Library 2OA, 67
Speech Library 0OA, 20
Speech Library 3OA, 93
Speech Library 4OA, 98
Speech Library direct, 10
Speech Trapezoid 2OA, 91
Speech Trapezoid 3OA, 97
Speech Trapezoid direct, 4
Speech Trapezoid 0OA, 35
Speech Trapezoid 1OA, 70
Speech Trapezoid 4OA, 11
TakeFive Library 3OA, 91
TakeFive Library 1OA, 98
TakeFive Library direct, 6
TakeFive Library 4OA, 36
TakeFive Library 2OA, 83
TakeFive Library 0OA, 15
TakeFive Trapezoid 1OA, 78
TakeFive Trapezoid 3OA, 95
TakeFive Trapezoid 4OA, 89
TakeFive Trapezoid 2OA, 95
TakeFive Trapezoid 0OA, 15
TakeFive Trapezoid direct, 5
